DateTime,Scheduled flights,Tracked flights
20200321,770,678
20200322,794,680
20200323,802,537
20200324,791,447
20200325,774,362
20200326,790,400
20200327,789,361
20200328,748,349
20200329,784,366
20200330,787,340
20200331,772,326
20200401,758,376
20200402,772,370
20200403,776,458
20200404,738,360
20200405,762,370
20200406,757,381
20200407,696,311
20200408,677,316
20200409,687,339
20200410,673,344
20200411,626,298
20200412,651,317
20200413,598,359
20200414,598,337
20200415,622,311
20200416,636,286
20200417,647,307
20200418,568,249
20200419,583,267
