DateTime,Scheduled flights,Tracked flights
20200321,873,589
20200322,879,566
20200323,865,539
20200324,863,520
20200325,855,461
20200326,820,470
20200327,785,451
20200328,863,431
20200329,864,441
20200330,809,422
20200331,814,368
20200401,762,348
20200402,729,340
20200403,704,339
20200404,644,324
20200405,592,314
20200406,564,259
20200407,568,249
20200408,539,248
20200409,460,223
20200410,463,214
20200411,434,225
20200412,437,236
20200413,450,225
20200414,447,229
20200415,421,229
20200416,366,220
20200417,336,202
20200418,351,208
20200419,365,228
