DateTime,Scheduled flights,Tracked flights
20200321,58,46
20200322,49,34
20200323,53,35
20200324,58,37
20200325,56,38
20200326,58,34
20200327,59,33
20200328,44,25
20200329,45,19
20200330,54,24
20200331,58,31
20200401,55,32
20200402,59,37
20200403,51,31
20200404,41,25
20200405,41,25
20200406,44,25
20200407,40,25
20200408,47,30
20200409,45,24
20200410,38,25
20200411,32,19
20200412,27,12
20200413,38,22
20200414,39,25
20200415,36,23
20200416,43,32
20200417,44,28
20200418,32,19
20200419,31,18
