"DateTime","Scheduled flights","Tracked flights"
"2020-03-21",887,672
"2020-03-22",844,620
"2020-03-23",883,589
"2020-03-24",882,566
"2020-03-25",865,539
"2020-03-26",863,520
"2020-03-27",875,461
"2020-03-28",885,470
"2020-03-29",851,451
"2020-03-30",866,431
"2020-03-31",864,441
"2020-04-01",809,422
"2020-04-02",814,368
"2020-04-03",762,348
"2020-04-04",729,340
"2020-04-05",704,339
"2020-04-06",644,324
"2020-04-07",592,314
"2020-04-08",564,259
"2020-04-09",568,249
"2020-04-10",539,248
"2020-04-11",460,223
"2020-04-12",463,214
"2020-04-13",434,225
"2020-04-14",437,236
"2020-04-15",450,225
"2020-04-16",447,229
"2020-04-17",421,229
"2020-04-18",366,220
"2020-04-19",336,202
