"DateTime","Scheduled flights","Tracked flights"
"2020-03-21",58,46
"2020-03-22",49,34
"2020-03-23",53,35
"2020-03-24",58,37
"2020-03-25",56,38
"2020-03-26",58,34
"2020-03-27",59,33
"2020-03-28",44,25
"2020-03-29",45,19
"2020-03-30",54,24
"2020-03-31",58,31
"2020-04-01",55,32
"2020-04-02",59,37
"2020-04-03",51,31
"2020-04-04",41,25
"2020-04-05",41,25
"2020-04-06",44,25
"2020-04-07",40,25
"2020-04-08",47,30
"2020-04-09",45,24
"2020-04-10",38,25
"2020-04-11",32,19
"2020-04-12",27,12
"2020-04-13",38,22
"2020-04-14",39,25
"2020-04-15",36,23
"2020-04-16",43,32
"2020-04-17",44,28
"2020-04-18",32,19
"2020-04-19",31,18
