"DateTime","Scheduled flights","Tracked flights"
"2020-03-21",770,678
"2020-03-22",794,680
"2020-03-23",802,537
"2020-03-24",791,447
"2020-03-25",774,362
"2020-03-26",790,400
"2020-03-27",789,361
"2020-03-28",748,349
"2020-03-29",784,366
"2020-03-30",787,340
"2020-03-31",772,326
"2020-04-01",758,376
"2020-04-02",772,370
"2020-04-03",776,458
"2020-04-04",738,360
"2020-04-05",762,370
"2020-04-06",757,381
"2020-04-07",696,311
"2020-04-08",677,316
"2020-04-09",687,339
"2020-04-10",673,344
"2020-04-11",626,298
"2020-04-12",651,317
"2020-04-13",598,359
"2020-04-14",598,337
"2020-04-15",622,311
"2020-04-16",636,286
"2020-04-17",647,307
"2020-04-18",568,249
"2020-04-19",583,267
